0:21:35:05,0:21:36:22,inconclusive
0:21:38:07,0:21:39:16,inconclusive
0:21:41:03,0:21:44:10,inmesstoo
0:21:46:20,0:21:50:23,ipredictedthis
0:21:53:04,0:21:53:28,istay
0:21:56:02,0:21:58:13,iwounded
0:22:00:00,0:22:02:23,iwounded2
0:22:05:14,0:22:07:25,iwoundedbad
0:22:09:25,0:22:11:07,justasked
0:22:13:03,0:22:17:29,lambdalab
0:22:21:05,0:22:21:24,leadtheway
0:22:24:14,0:22:26:29,leavingme
0:22:28:26,0:22:29:28,letmehelp
0:22:31:29,0:22:32:19,letsgo
0:22:35:02,0:22:36:00,letstrythis
0:22:37:20,0:22:39:17,letyouin
0:22:40:29,0:22:43:10,limitsok
0:22:44:23,0:22:46:14,lowervoice
0:22:48:28,0:22:52:11,luckwillchange
0:22:54:19,0:22:56:23,madness
0:22:59:09,0:23:02:22,needsleep
0:23:05:01,0:23:09:00,neverseen
0:23:10:23,0:23:16:12,newhevsuit
0:23:18:02,0:23:23:12,newhevsuit
0:23:25:19,0:23:28:04,newsample
0:23:30:06,0:23:31:17,nodoubt
0:23:32:24,0:23:35:18,nogrant
0:23:38:09,0:23:39:28,noguess
0:23:42:11,0:23:45:12,noidea
0:23:47:12,0:23:48:10,noo
0:23:49:23,0:23:50:11,nooo
0:23:51:23,0:23:53:10,noplease
0:23:54:08,0:23:55:10,notcertain
0:23:58:04,0:24:01:26,nothostile
0:24:03:28,0:24:05:05,notsure
0:24:06:25,0:24:09:04,odorfromyou
0:24:11:04,0:24:11:26,ofcourse
0:24:13:01,0:24:14:04,ofcoursenot
0:24:15:21,0:24:17:14,okgetout
0:24:19:25,0:24:23:01,okihope
0:24:25:05,0:24:29:15,organicmatter
0:24:32:15,0:24:34:24,peculiarmarks
0:24:36:23,0:24:39:10,peculiarodor
0:24:41:19,0:24:45:01,perfectday
0:24:46:10,0:24:47:09,perhaps
0:24:49:28,0:24:50:23,positively
0:24:52:10,0:24:55:18,purereadings
0:24:57:00,0:25:01:08,recalculate
0:25:03:04,0:25:05:13,reconsider
0:25:07:19,0:25:10:15,repeat
0:25:12:18,0:25:15:28,reportflux
0:25:18:03,0:25:20:20,rescueus
0:25:22:25,0:25:23:20,ridiculous
0:25:26:07,0:25:26:24,right
0:25:29:11,0:25:31:11,rightwayout
0:25:33:02,0:25:37:25,rumourclean
0:25:39:26,0:25:43:16,runtest
0:25:47:07,0:25:49:21,sci_aftertest
0:25:51:02,0:25:54:11,sci_alone
0:25:56:05,0:25:57:18,sci_bother
0:25:59:21,0:26:01:26,sci_busy
0:26:03:23,0:26:04:12,sci_fear6
0:26:06:26,0:26:07:17,sci_fear7
0:26:10:03,0:26:12:05,sci_fear11
0:26:14:28,0:26:16:00,sci_fear12
0:26:18:07,0:26:18:23,sci_fear13
0:26:21:06,0:26:21:28,sci_fear14
0:26:23:28,0:26:24:16,sci_pain2
0:26:26:05,0:26:26:21,sci_pain3
0:26:28:03,0:26:28:20,sci_pain6
0:26:30:15,0:26:31:11,sci_pain7
0:26:32:29,0:26:33:23,sci_pain8
0:26:36:12,0:26:37:00,sci_pain9
0:26:38:17,0:26:39:08,sci_pain10
0:26:40:23,0:26:44:05,sci_somewhere
0:26:46:13,0:26:46:29,scream10
0:26:48:24,0:26:49:12,scream11
0:26:52:05,0:26:52:25,scream12
0:26:55:29,0:26:56:21,scream13
0:26:58:29,0:27:01:01,seencup
0:27:02:28,0:27:05:29,shakeunification
0:27:08:11,0:27:12:09,shutdownchart
0:27:14:27,0:27:15:23,shutup
0:27:16:26,0:27:17:22,shutup2
0:27:19:06,0:27:23:04,simulation
0:27:24:17,0:27:26:24,slowingyou
0:27:29:08,0:27:31:05,smellburn
0:27:34:12,0:27:35:12,sneeze
0:27:37:06,0:27:40:21,softethics
0:27:43:25,0:27:45:15,sorryimleaving
0:27:47:21,0:27:50:02,somethingfoul
0:27:52:08,0:27:53:17,startle5
0:27:56:13,0:27:57:19,startle6
0:27:59:05,0:28:00:07,startle7
0:28:02:05,0:28:03:16,startle8
0:28:06:12,0:28:08:05,startle9
0:28:09:28,0:28:13:00,statusreport
0:28:15:02,0:28:16:25,stench
0:28:19:07,0:28:21:14,stimulating
0:28:22:26,0:28:24:05,stop1
0:28:25:26,0:28:28:10,stop2
0:28:30:05,0:28:32:03,stop3
0:28:33:17,0:28:35:22,stop4
0:28:37:20,0:28:39:10,stopasking
0:28:41:19,0:28:43:07,stopattacking
0:28:45:16,0:28:48:11,survival
0:28:50:17,0:28:51:18,thatsodd
0:28:54:17,0:28:55:21,theoretically
0:29:00:03,0:29:01:06,thiswillhelp
0:29:03:20,0:29:07:03,tunedtoday
0:29:10:03,0:29:13:13,tunnelcalc
0:29:15:24,0:29:18:27,uselessphd
0:29:20:14,0:29:24:05,weartie
0:29:26:19,0:29:30:06,whatnext
0:29:32:25,0:29:35:08,whatyoudoing
0:29:38:12,0:29:39:10,whocansay
0:29:42:00,0:29:43:26,whoresponsible
0:29:45:29,0:29:47:11,whyaskme
0:29:49:00,0:29:50:19,whyleavehere
0:29:52:04,0:29:53:01,yees
0:29:55:03,0:29:55:14,yes
0:29:56:25,0:29:57:05,yes2
0:29:59:04,0:29:59:24,yes3
0:30:02:16,0:30:03:25,yesletsgo
0:30:06:00,0:30:08:28,youinsane
0:30:11:09,0:30:13:22,youinsane
0:30:16:19,0:30:17:26,youlookbad
0:30:21:11,0:30:22:17,youlookbad2
0:30:24:08,0:30:26:22,youneedmedic
0:30:28:22,0:30:30:21,youwounded
0:30:48:09,0:30:50:02,sci_fear1
0:30:51:18,0:30:53:10,sci_fear2
0:30:54:17,0:30:55:25,sci_fear3
0:30:56:10,0:30:58:01,sci_fear4
0:30:59:22,0:31:00:23,sci_fear5
0:31:01:03,0:31:02:03,sci_fear5
0:31:03:08,0:31:04:25,sci_fear8
0:31:05:12,0:31:07:22,sci_fear9
0:31:07:27,0:31:09:06,sci_fear10
0:31:10:09,0:31:11:23,sci_fear15
0:31:32:01,0:31:36:25,advance
0:31:41:11,0:31:45:11,corporal
0:31:50:15,0:31:57:05,fix
0:32:01:21,0:32:07:07,getalong
0:32:10:29,0:32:17:28,of1a1_sc01
0:32:21:14,0:32:25:02,of1a1_sc02
0:32:28:25,0:32:57:22,of1a1_sc03
0:33:03:14,0:33:10:08,of1a1_sc01
0:33:14:15,0:33:20:25,of1a1_sc02
0:33:24:03,0:33:55:17,of1a1_sc03
0:33:58:27,0:34:11:25,of1a1_sc05
0:34:16:12,0:34:20:11,of1a5_sc01
0:34:22:28,0:34:26:21,of1a5_sc02
0:34:29:04,0:34:33:12,of1a6_sc01
0:34:35:09,0:34:39:22,of1a6_sc01
0:34:42:16,0:34:51:04,of2a2_sc01
0:34:53:27,0:35:00:11,of2a3_sc01
0:35:00:29,0:35:09:01,of3a4_sc01
0:35:11:16,0:35:17:21,of3a4_sc02
0:35:22:13,0:35:47:28,of4a1_sc01
0:35:54:06,0:35:57:18,please
0:36:01:09,0:36:05:02,saved
0:36:10:02,0:36:14:09,tr_sci_gwbarney
0:36:17:04,0:36:21:17,tr_sci_gwbarney
0:36:29:01,0:36:37:19,sc_accident1
0:36:40:13,0:36:52:12,sc_accident2
0:36:57:12,0:37:02:05,sc_accident3
0:37:06:11,0:37:10:17,sc_accident3
0:37:14:28,0:37:31:05,sc_canals2
0:37:33:02,0:37:50:00,sc_canals2
0:37:51:13,0:38:08:23,sc_canals2
0:38:15:12,0:38:23:16,sc_canals4
0:38:30:21,0:38:33:22,sc_hello0
0:38:40:02,0:38:44:03,sc_hello1
0:38:50:23,0:38:54:21,sc_hello2
0:38:59:15,0:39:03:02,sc_hello3
0:39:07:19,0:39:12:03,sc_hello4
0:39:16:22,0:39:21:13,sc_hello5
0:39:26:10,0:39:36:03,sc_maint
0:39:41:00,0:39:50:15,sc_maint
0:39:55:27,0:40:00:04,sc_ok0
0:40:04:18,0:40:09:05,sc_ok1
0:40:12:28,0:40:15:01,sc_ok2
0:40:17:26,0:40:19:29,sc_ok2
0:40:23:10,0:40:27:13,sc_ok3
0:40:31:21,0:40:36:13,sc_pok0
0:40:41:21,0:40:44:10,sc_pok1
0:40:50:02,0:40:53:15,sc_pok2
0:40:58:13,0:41:03:25,sc_pok3
0:41:10:16,0:41:15:24,sc_pok3
0:41:19:20,0:41:23:16,sc_pok4
0:41:27:26,0:41:31:20,sc_pok5
0:41:36:12,0:41:41:09,sc_pok6
0:41:45:03,0:41:49:07,sc_power1
0:41:54:06,0:41:59:27,sc_power2
0:42:01:15,0:42:08:00,sc_power2
